FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
9122022;0;33.7;41;998.0;360;9;ORAN AERO
9122022;1;33.6;41;997.6;270;24;ORAN AERO
9122022;2;32.7;44;997.0;270;15;ORAN AERO
9122022;3;31.2;49;997.1;320;4;ORAN AERO
9122022;4;30.4;51;997.6;0;0;ORAN AERO
9122022;5;29.8;54;997.8;270;9;ORAN AERO
9122022;6;29.2;56;999.0;270;15;ORAN AERO
9122022;7;29.6;54;999.1;0;0;ORAN AERO
9122022;8;29.4;53;999.8;270;4;ORAN AERO
9122022;9;30.9;49;1000.3;0;0;ORAN AERO
9122022;10;32.6;45;1000.3;320;9;ORAN AERO
9122022;11;35.8;35;999.4;360;9;ORAN AERO
9122022;12;39.2;28;998.4;90;9;ORAN AERO
9122022;13;41.2;24;997.0;90;9;ORAN AERO
9122022;14;42.7;21;995.9;90;9;ORAN AERO
9122022;15;43.9;19;994.8;360;9;ORAN AERO
9122022;16;44.0;20;993.4;140;4;ORAN AERO
9122022;17;42.4;22;993.5;140;9;ORAN AERO
9122022;18;41.2;24;993.3;230;9;ORAN AERO
9122022;19;40.0;27;994.3;0;0;ORAN AERO
9122022;20;37.0;36;995.5;180;9;ORAN AERO
9122022;21;36.8;37;996.2;360;15;ORAN AERO
9122022;22;30.0;54;998.2;360;15;ORAN AERO
9122022;23;28.6;62;998.7;360;9;ORAN AERO
