FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
8122022;0;32.7;34;999.7;140;9;ORAN AERO
8122022;1;32.1;37;998.8;0;0;ORAN AERO
8122022;2;32.6;34;998.3;180;9;ORAN AERO
8122022;3;30.9;42;997.5;0;0;ORAN AERO
8122022;4;29.3;47;996.8;0;0;ORAN AERO
8122022;5;28.1;50;997.2;270;9;ORAN AERO
8122022;6;27.2;54;997.9;270;4;ORAN AERO
8122022;7;27.8;53;997.9;320;4;ORAN AERO
8122022;8;28.8;51;999.3;270;4;ORAN AERO
8122022;9;32.0;40;999.5;360;9;ORAN AERO
8122022;10;35.8;32;999.6;360;9;ORAN AERO
8122022;11;37.2;27;999.2;140;15;ORAN AERO
8122022;12;40.0;25;998.9;140;9;ORAN AERO
8122022;13;41.1;22;997.9;140;9;ORAN AERO
8122022;14;42.8;20;996.7;140;9;ORAN AERO
8122022;15;44.2;18;995.3;140;4;ORAN AERO
8122022;16;43.6;19;994.3;0;0;ORAN AERO
8122022;17;43.4;18;993.4;180;9;ORAN AERO
8122022;18;42.6;20;993.6;180;9;ORAN AERO
8122022;19;41.8;22;993.9;180;4;ORAN AERO
8122022;20;39.6;30;994.8;0;0;ORAN AERO
8122022;21;37.7;29;996.0;360;24;ORAN AERO
8122022;22;36.2;33;997.0;360;15;ORAN AERO
8122022;23;35.0;37;997.5;360;15;ORAN AERO
