FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
6122022;0;30.3;40;1003.6;270;9;ORAN AERO
6122022;1;29.0;43;1003.6;270;9;ORAN AERO
6122022;2;28.6;44;1003.2;0;0;ORAN AERO
6122022;3;28.3;45;1002.8;320;9;ORAN AERO
6122022;4;26.6;52;1002.8;320;9;ORAN AERO
6122022;5;26.3;54;1002.9;360;9;ORAN AERO
6122022;6;25.0;60;1003.4;0;0;ORAN AERO
6122022;7;24.0;60;1004.4;0;0;ORAN AERO
6122022;8;26.6;51;1004.7;320;9;ORAN AERO
6122022;9;29.6;44;1005.3;320;9;ORAN AERO
6122022;10;32.4;35;1005.3;320;9;ORAN AERO
6122022;11;35.8;26;1005.0;360;15;ORAN AERO
6122022;12;38.5;20;1004.2;320;15;ORAN AERO
6122022;13;40.4;19;1003.4;360;15;ORAN AERO
6122022;14;40.7;19;1002.5;360;9;ORAN AERO
6122022;15;41.4;17;1001.2;140;15;ORAN AERO
6122022;16;42.1;17;1000.3;180;15;ORAN AERO
6122022;17;41.9;15;999.9;140;15;ORAN AERO
6122022;18;41.3;16;999.5;140;9;ORAN AERO
6122022;19;39.7;20;1000.1;140;9;ORAN AERO
6122022;20;37.4;24;1001.1;0;0;ORAN AERO
6122022;21;34.1;32;1002.1;0;0;ORAN AERO
6122022;22;31.3;45;1003.3;0;0;ORAN AERO
6122022;23;31.8;39;1004.1;270;9;ORAN AERO
