FECHA;HORA;TEMP;HUM;PNM;DD;FF;NOMBRE
7122022;0;32.1;37;1004.1;0;0;ORAN AERO
7122022;1;30.7;42;1003.8;0;0;ORAN AERO
7122022;2;29.2;46;1003.6;0;0;ORAN AERO
7122022;3;29.1;47;1003.1;0;0;ORAN AERO
7122022;4;27.8;48;1003.2;0;0;ORAN AERO
7122022;5;26.2;53;1003.2;0;0;ORAN AERO
7122022;6;25.8;55;1003.3;270;9;ORAN AERO
7122022;7;26.7;54;1003.6;0;0;ORAN AERO
7122022;8;28.4;49;1004.7;360;15;ORAN AERO
7122022;9;31.4;38;1004.8;360;15;ORAN AERO
7122022;10;34.0;34;1004.4;360;9;ORAN AERO
7122022;11;36.6;28;1003.7;360;15;ORAN AERO
7122022;12;40.0;21;1002.5;360;24;ORAN AERO
7122022;13;41.4;19;1001.2;360;15;ORAN AERO
7122022;14;42.1;18;1000.0;320;9;ORAN AERO
7122022;15;42.9;18;998.5;360;9;ORAN AERO
7122022;16;43.7;16;996.9;360;9;ORAN AERO
7122022;17;43.0;17;996.1;360;4;ORAN AERO
7122022;18;42.3;18;995.7;360;9;ORAN AERO
7122022;19;41.7;18;995.8;50;9;ORAN AERO
7122022;20;39.2;25;996.4;90;4;ORAN AERO
7122022;21;37.8;24;996.9;0;0;ORAN AERO
7122022;22;34.1;30;998.2;90;4;ORAN AERO
7122022;23;34.5;31;999.3;230;4;ORAN AERO
